CPUs,Input Parameters,Output,Simulation Time
8,"[[0.2044963092235169, 0.22920490272664487, 0.14684699060645962, 0.1022263208568567, 0.09235052654430244, 0.1753205616238253, 0.26179870089828594, 0.14159850149832814, 0.20015798599251533, 0.22276760797240036, 0.19261504274355176, 0.2365132657053327]]","[[64171120.0, 64171120.0]]",4.41
8,"[[0.181450951319301, 0.2582383129495169, 0.13874930288507106, 0.16155866695781582, 0.27161364332600246, 0.23374189417586527, 0.22790705621935464, 0.27722771411831193, 0.14046839581281978, 0.1466821882463519, 0.2475717135004878, 0.19606392543097076]]","[[64171120.0, 64171120.0]]",12.38
8,"[[0.43526487138155684, 0.19549641849671492, 0.20505831767350657, 0.2582816999895915, 0.15874397600824505, 0.12222785279048, 0.13138057339779755, 0.19583070357008647, 0.25985782346469405, 0.341571171784103, 0.09323290154594839, 0.2558323715448066]]","[[64171120.0, 64171120.0]]",6.46
8,"[[0.12891907658675966, 0.17687943902485817, 0.10857753568800724, 0.29420536895419247, 0.032100839856650826, 0.2394040718416126, 0, 0.16109430732860605, 0.3045372783434508, 0.12437877310109158, 0.14678313908511015, 0.07647065062562013]]","[[64171120.0, 64171120.0]]",3.78
8,"[[0.24643597464577868, 0.2856195432157157, 0.22618727334238925, 0.19307969957180923, 0.22025783467927074, 0.13345446923298124, 0.2149308269128584, 0.29208480227206474, 0.09417912038201874, 0.293985839926627, 0.31981240606786365, 0.2452054542091533]]","[[64171120.0, 64171120.0]]",4.75
8,"[[0.16594644908283446, 0.24975583955653238, 0.2811343089705096, 0.143276239468891, 0.17365946499957174, 0.3565502490992001, 0.3475672260183309, 0.07864656015583278, 0.23741316347768726, 0.1476466390537609, 0.11059703218378139, 0.17491740345104376]]","[[64171120.0, 64171120.0]]",4.82
8,"[[0.2560513622256636, 0.016805402677759373, 0.18092792096058033, 0.23322768350915968, 0.256474658080122, 0.1954790779495416, 0.18287789343861907, 0.22561008594885557, 0.1628539976733138, 0.20746524099450214, 0.2121327155814556, 0.28034254788035046]]","[[64171120.0, 64171120.0]]",4.69
8,"[[0.01629687604434879, 0.3313219515762902, 0.16945598376165463, 0.2711206669805737, 0.11431972968645047, 0.262736954325096, 0.24829541332787083, 0.25569935040232383, 0.11715210267658938, 0.22770474413858108, 0.2652119688671851, 0.1190565863281835]]","[[64171120.0, 64171120.0]]",8.11
8,"[[0.21639978028126133, 0.15915400308291558, 0.3039242709404969, 0.15228976341858788, 0.2515580559000561, 0.1565949436301045, 0.12132814235269937, 0.18527708933585, 0.28309371860201055, 0.18308610946131335, 0.1786756053584654, 0.2247073416782861]]","[[64171120.0, 64171120.0]]",4.73
8,"[[0.1945769769167752, 0.1268554310671478, 0.22503244679424259, 0.07435885932822667, 0.19478575623089842, 0.200269109449175, 0.15051013818500816, 0.20169279643493132, 0.17729324201168897, 0.26211007245794193, 0.23456663521007126, 0.15433123786934247]]","[[64171120.0, 64171120.0]]",4.5
8,"[[0.31968358874744485, 0.2153338933827679, 0.11105222343626031, 0.22150926796516582, 0.2987208325528181, 0.026615695871046757, 0.27229201792698415, 0.12680834770343224, 0.22205609297564946, 0.007693107388966308, 0.031173965016577126, 0.3222151046343733]]","[[64171120.0, 64171120.0]]",4.42
8,"[[0.13143987456027012, 0.18954758189215082, 0.21501752349414205, 0.20106838175461936, 0.3089230399661437, 0.142322544292098, 0.12517445297784208, 0.2088260221050824, 0.16790425935565112, 0.08050430382496053, 0.2316076313817938, 0.19485684034663175]]","[[64171120.0, 64171120.0]]",5.38
8,"[[0.23076670831586363, 0.26597479136245306, 0.12737832936183713, 0.08874553933142502, 0.1931628386317305, 0.24604643284516078, 0.2475036391230549, 0.11490069686963578, 0.23236133956857785, 0.2822678168707488, 0.055710030631472035, 0.25442366532565697]]","[[64171120.0, 64171120.0]]",6.79
